2026-03-04 09:39:04,640 - basicLogger - INFO - Searching for shot at index 0...
2026-03-04 09:39:04,647 - basicLogger - INFO - Found shot at index 0
2026-03-04 09:43:21,486 - basicLogger - INFO - Searching for shot at index 1...
2026-03-04 09:43:21,494 - basicLogger - INFO - Found shot at index 1
2026-03-04 09:43:30,106 - basicLogger - INFO - Searching for shot at index 5...
2026-03-04 09:43:30,113 - basicLogger - INFO - Found shot at index 5
2026-03-04 09:43:35,229 - basicLogger - INFO - Searching for shot at index 9999...
2026-03-04 09:43:36,244 - basicLogger - ERROR - Shot at index 9999 not found in Kafka
2026-03-04 09:44:15,805 - basicLogger - INFO - Stats calculated: 100 shots, 100 penalties
2026-03-04 09:50:15,525 - basicLogger - INFO - Stats calculated: 150 shots, 150 penalties
2026-03-04 09:53:14,966 - basicLogger - INFO - Stats calculated: 200 shots, 200 penalties
2026-03-04 09:53:17,051 - basicLogger - INFO - Stats calculated: 200 shots, 200 penalties
2026-03-04 09:57:36,993 - basicLogger - INFO - Stats calculated: 350 shots, 350 penalties
2026-03-04 10:03:21,316 - basicLogger - INFO - Stats calculated: 400 shots, 400 penalties
2026-03-04 10:03:26,969 - basicLogger - INFO - Stats calculated: 400 shots, 400 penalties
2026-03-04 10:04:36,811 - basicLogger - INFO - Stats calculated: 500 shots, 500 penalties
2026-03-04 10:23:05,409 - basicLogger - INFO - Stats calculated: 900 shots, 900 penalties
2026-03-04 10:34:37,298 - basicLogger - INFO - Stats calculated: 1150 shots, 1150 penalties
2026-03-04 10:35:31,401 - basicLogger - INFO - Stats calculated: 1150 shots, 1150 penalties
2026-03-04 10:40:07,605 - basicLogger - INFO - Stats calculated: 1250 shots, 1250 penalties
